tournament_name,held_on,grade_coeff,mc_a,mc_b,winner,round,series
SPOTLIGHT 2022 関東編,2022-07-01,2.0,MC☆ニガリ a.k.a 赤い稲妻,輪入道,b,準決勝,SPOTLIGHT
SPOTLIGHT 2022 関東編,2022-07-01,2.0,FORK,S-kainê,b,準決勝,SPOTLIGHT
SPOTLIGHT 2022 関東編,2022-07-01,2.0,S-kainê,輪入道,b,決勝,SPOTLIGHT
# =====================================================
# SPOTLIGHT 2022 (2022-12-04)
# 優勝: MOL53 / 準優勝: CIMA
# 信頼度: ✅高（finance-accounting-value.comで全試合照合済み）
# 出場16名
# =====================================================
SPOTLIGHT 2022,2022-12-04,2.0,MU-TON,SILENT KILLA JOINT,a,1回戦,SPOTLIGHT
SPOTLIGHT 2022,2022-12-04,2.0,GOCCI,ERONE,b,1回戦,SPOTLIGHT
SPOTLIGHT 2022,2022-12-04,2.0,梵頭,JUMBO MAATCH,b,1回戦,SPOTLIGHT
SPOTLIGHT 2022,2022-12-04,2.0,MOL53,煩悩,a,1回戦,SPOTLIGHT
SPOTLIGHT 2022,2022-12-04,2.0,レイジ,S-kainê,b,1回戦,SPOTLIGHT
SPOTLIGHT 2022,2022-12-04,2.0,DOTAMA,ブッダ,a,1回戦,SPOTLIGHT
SPOTLIGHT 2022,2022-12-04,2.0,Maiji,SURRY,a,1回戦,SPOTLIGHT
SPOTLIGHT 2022,2022-12-04,2.0,晋平太,CIMA,b,1回戦,SPOTLIGHT
SPOTLIGHT 2022,2022-12-04,2.0,MU-TON,ERONE,a,準々決勝,SPOTLIGHT
SPOTLIGHT 2022,2022-12-04,2.0,MOL53,JUMBO MAATCH,a,準々決勝,SPOTLIGHT
SPOTLIGHT 2022,2022-12-04,2.0,S-kainê,DOTAMA,b,準々決勝,SPOTLIGHT
SPOTLIGHT 2022,2022-12-04,2.0,Maiji,CIMA,b,準々決勝,SPOTLIGHT
SPOTLIGHT 2022,2022-12-04,2.0,MU-TON,MOL53,b,準決勝,SPOTLIGHT
SPOTLIGHT 2022,2022-12-04,2.0,DOTAMA,CIMA,b,準決勝,SPOTLIGHT
SPOTLIGHT 2022,2022-12-04,2.0,MOL53,CIMA,a,決勝,SPOTLIGHT
# =====================================================
# SPOTLIGHT 2023 東京編 (2023-06-09)
# 優勝: 輪入道 / 準優勝: CHICO CARLITO
# 信頼度: ✅高（finance-accounting-value.comで全試合照合済み）
# 出場16名
# =====================================================
SPOTLIGHT 2023 東京編,2023-06-09,2.0,ID,ACE,b,1回戦,SPOTLIGHT
SPOTLIGHT 2023 東京編,2023-06-09,2.0,NAIKA MC,B.I.G.JOE,a,1回戦,SPOTLIGHT
SPOTLIGHT 2023 東京編,2023-06-09,2.0,梵頭,CHICO CARLITO,b,1回戦,SPOTLIGHT
SPOTLIGHT 2023 東京編,2023-06-09,2.0,MCQ,呂布カルマ,b,1回戦,SPOTLIGHT
SPOTLIGHT 2023 東京編,2023-06-09,2.0,ミステリオ,ERONE,a,1回戦,SPOTLIGHT
SPOTLIGHT 2023 東京編,2023-06-09,2.0,ミメイ,DOTAMA,a,1回戦,SPOTLIGHT
SPOTLIGHT 2023 東京編,2023-06-09,2.0,MOL53,輪入道,b,1回戦,SPOTLIGHT
SPOTLIGHT 2023 東京編,2023-06-09,2.0,CIMA,晋平太,a,1回戦,SPOTLIGHT
SPOTLIGHT 2023 東京編,2023-06-09,2.0,NAIKA MC,ACE,b,準々決勝,SPOTLIGHT
SPOTLIGHT 2023 東京編,2023-06-09,2.0,CHICO CARLITO,呂布カルマ,a,準々決勝,SPOTLIGHT
SPOTLIGHT 2023 東京編,2023-06-09,2.0,ミステリオ,ミメイ,a,準々決勝,SPOTLIGHT
SPOTLIGHT 2023 東京編,2023-06-09,2.0,CIMA,輪入道,b,準々決勝,SPOTLIGHT
SPOTLIGHT 2023 東京編,2023-06-09,2.0,CHICO CARLITO,ACE,a,準決勝,SPOTLIGHT
SPOTLIGHT 2023 東京編,2023-06-09,2.0,ミステリオ,輪入道,b,準決勝,SPOTLIGHT
SPOTLIGHT 2023 東京編,2023-06-09,2.0,輪入道,CHICO CARLITO,a,決勝,SPOTLIGHT
# =====================================================
# SPOTLIGHT 2023 大阪編 (2023-11-23)
# 優勝: MC☆ニガリ / 準優勝: 呂布カルマ
# 信頼度: ✅高（finance-accounting-value.comで全試合照合済み）
# =====================================================
SPOTLIGHT 2023 大阪編,2023-11-23,2.0,ミメイ,L.B.R.L,a,1回戦,SPOTLIGHT
SPOTLIGHT 2023 大阪編,2023-11-23,2.0,Rude-α,ZEAL,b,1回戦,SPOTLIGHT
SPOTLIGHT 2023 大阪編,2023-11-23,2.0,CHICO CARLITO,輪入道,a,1回戦,SPOTLIGHT
SPOTLIGHT 2023 大阪編,2023-11-23,2.0,KOPERU,MOL53,b,1回戦,SPOTLIGHT
SPOTLIGHT 2023 大阪編,2023-11-23,2.0,LAZE,裂固,b,1回戦,SPOTLIGHT
SPOTLIGHT 2023 大阪編,2023-11-23,2.0,Fuma no KTR,MC☆ニガリ,b,1回戦,SPOTLIGHT
SPOTLIGHT 2023 大阪編,2023-11-23,2.0,DOTAMA,NAJIMI,a,1回戦,SPOTLIGHT
SPOTLIGHT 2023 大阪編,2023-11-23,2.0,HARDY,ミステリオ,b,1回戦,SPOTLIGHT
SPOTLIGHT 2023 大阪編,2023-11-23,2.0,無欲,ERONE,a,1回戦,SPOTLIGHT
SPOTLIGHT 2023 大阪編,2023-11-23,2.0,STEEL,ACE,b,1回戦,SPOTLIGHT
SPOTLIGHT 2023 大阪編,2023-11-23,2.0,レイジ,K-razy,a,1回戦,SPOTLIGHT
SPOTLIGHT 2023 大阪編,2023-11-23,2.0,REDWING,呂布カルマ,b,1回戦,SPOTLIGHT
SPOTLIGHT 2023 大阪編,2023-11-23,2.0,KBD,SILENT KILLA JOINT,a,1回戦,SPOTLIGHT
SPOTLIGHT 2023 大阪編,2023-11-23,2.0,CIMA,TERU,a,1回戦,SPOTLIGHT
SPOTLIGHT 2023 大阪編,2023-11-23,2.0,梵頭,Authority,b,1回戦,SPOTLIGHT
SPOTLIGHT 2023 大阪編,2023-11-23,2.0,JAKE,NERVE,b,1回戦,SPOTLIGHT
SPOTLIGHT 2023 大阪編,2023-11-23,2.0,ZEAL,ミメイ,b,2回戦,SPOTLIGHT
SPOTLIGHT 2023 大阪編,2023-11-23,2.0,MOL53,CHICO CARLITO,a,2回戦,SPOTLIGHT
SPOTLIGHT 2023 大阪編,2023-11-23,2.0,裂固,MC☆ニガリ,b,2回戦,SPOTLIGHT
SPOTLIGHT 2023 大阪編,2023-11-23,2.0,DOTAMA,ミステリオ,b,2回戦,SPOTLIGHT
SPOTLIGHT 2023 大阪編,2023-11-23,2.0,無欲,ACE,a,2回戦,SPOTLIGHT
SPOTLIGHT 2023 大阪編,2023-11-23,2.0,呂布カルマ,レイジ,a,2回戦,SPOTLIGHT
SPOTLIGHT 2023 大阪編,2023-11-23,2.0,KBD,CIMA,b,2回戦,SPOTLIGHT
SPOTLIGHT 2023 大阪編,2023-11-23,2.0,NERVE,Authority,a,2回戦,SPOTLIGHT
SPOTLIGHT 2023 大阪編,2023-11-23,2.0,MOL53,ミメイ,a,準々決勝,SPOTLIGHT
SPOTLIGHT 2023 大阪編,2023-11-23,2.0,ミステリオ,MC☆ニガリ,b,準々決勝,SPOTLIGHT
SPOTLIGHT 2023 大阪編,2023-11-23,2.0,無欲,呂布カルマ,b,準々決勝,SPOTLIGHT
SPOTLIGHT 2023 大阪編,2023-11-23,2.0,NERVE,CIMA,b,準々決勝,SPOTLIGHT
SPOTLIGHT 2023 大阪編,2023-11-23,2.0,MOL53,MC☆ニガリ,b,準決勝,SPOTLIGHT
SPOTLIGHT 2023 大阪編,2023-11-23,2.0,CIMA,呂布カルマ,b,準決勝,SPOTLIGHT
SPOTLIGHT 2023 大阪編,2023-11-23,2.0,呂布カルマ,MC☆ニガリ,b,決勝,SPOTLIGHT
# =====================================================
# SPOTLIGHT 2024 大阪編 (2024-12-14)
# 優勝: CIMA / 準優勝: 輪入道
# 信頼度: ⚠️中（準々決勝以降は口頭確認済み、1回戦は画像読取）
# =====================================================
SPOTLIGHT 2024 大阪編,2024-12-14,2.0,楓,狺-TARØET,a,1回戦,SPOTLIGHT
SPOTLIGHT 2024 大阪編,2024-12-14,2.0,RKID'z,RunLine,b,1回戦,SPOTLIGHT
SPOTLIGHT 2024 大阪編,2024-12-14,2.0,ミメイ,NERVE,b,1回戦,SPOTLIGHT
SPOTLIGHT 2024 大阪編,2024-12-14,2.0,KBD,Ryo,a,1回戦,SPOTLIGHT
SPOTLIGHT 2024 大阪編,2024-12-14,2.0,MC☆ニガリ a.k.a 赤い稲妻,CIMA,b,1回戦,SPOTLIGHT
SPOTLIGHT 2024 大阪編,2024-12-14,2.0,j-flag,泰斗 a.k.a. 裂固,b,1回戦,SPOTLIGHT
SPOTLIGHT 2024 大阪編,2024-12-14,2.0,梵頭,知葉瑠,a,1回戦,SPOTLIGHT
SPOTLIGHT 2024 大阪編,2024-12-14,2.0,ACE,SILENT KILLA JOINT,b,1回戦,SPOTLIGHT
SPOTLIGHT 2024 大阪編,2024-12-14,2.0,JUMBO MAATCH,KATY,a,1回戦,SPOTLIGHT
SPOTLIGHT 2024 大阪編,2024-12-14,2.0,ふぁんく,DOTAMA,a,1回戦,SPOTLIGHT
SPOTLIGHT 2024 大阪編,2024-12-14,2.0,KOPERU,KYO虎,a,1回戦,SPOTLIGHT
SPOTLIGHT 2024 大阪編,2024-12-14,2.0,Sto$,MAKA,b,1回戦,SPOTLIGHT
SPOTLIGHT 2024 大阪編,2024-12-14,2.0,ミステリオ,レイジ,a,1回戦,SPOTLIGHT
SPOTLIGHT 2024 大阪編,2024-12-14,2.0,VITE,輪入道,b,1回戦,SPOTLIGHT
SPOTLIGHT 2024 大阪編,2024-12-14,2.0,HIDADDY,ERONE,a,1回戦,SPOTLIGHT
SPOTLIGHT 2024 大阪編,2024-12-14,2.0,RUGSHOT,Zeal,b,1回戦,SPOTLIGHT
SPOTLIGHT 2024 大阪編,2024-12-14,2.0,楓,RunLine,a,2回戦,SPOTLIGHT
SPOTLIGHT 2024 大阪編,2024-12-14,2.0,NERVE,KBD,b,2回戦,SPOTLIGHT
SPOTLIGHT 2024 大阪編,2024-12-14,2.0,CIMA,泰斗 a.k.a. 裂固,a,2回戦,SPOTLIGHT
SPOTLIGHT 2024 大阪編,2024-12-14,2.0,梵頭,SILENT KILLA JOINT,b,2回戦,SPOTLIGHT
SPOTLIGHT 2024 大阪編,2024-12-14,2.0,JUMBO MAATCH,ふぁんく,b,2回戦,SPOTLIGHT
SPOTLIGHT 2024 大阪編,2024-12-14,2.0,KOPERU,MAKA,b,2回戦,SPOTLIGHT
SPOTLIGHT 2024 大阪編,2024-12-14,2.0,ミステリオ,輪入道,b,2回戦,SPOTLIGHT
SPOTLIGHT 2024 大阪編,2024-12-14,2.0,HIDADDY,Zeal,b,2回戦,SPOTLIGHT
SPOTLIGHT 2024 大阪編,2024-12-14,2.0,楓,KBD,b,準々決勝,SPOTLIGHT
SPOTLIGHT 2024 大阪編,2024-12-14,2.0,CIMA,SILENT KILLA JOINT,a,準々決勝,SPOTLIGHT
SPOTLIGHT 2024 大阪編,2024-12-14,2.0,ふぁんく,MAKA,b,準々決勝,SPOTLIGHT
SPOTLIGHT 2024 大阪編,2024-12-14,2.0,輪入道,Zeal,a,準々決勝,SPOTLIGHT
SPOTLIGHT 2024 大阪編,2024-12-14,2.0,KBD,CIMA,b,準決勝,SPOTLIGHT
SPOTLIGHT 2024 大阪編,2024-12-14,2.0,MAKA,輪入道,b,準決勝,SPOTLIGHT
SPOTLIGHT 2024 大阪編,2024-12-14,2.0,CIMA,輪入道,a,決勝,SPOTLIGHT
# =====================================================
# SPOTLIGHT 2025 (2025-12-20)
# 優勝: レイジ / 準優勝: 輪入道
# 信頼度: ⚠️中（準々決勝以降は口頭確認済み、1回戦は画像読取）
# シード：Sto$（左1）、歩歩（左6）、ミステリオ（左7）、五月雨（左10）
#         REDWING（右1）、KATY（右6）、STEEL（右7）、K-razy（右10）
# =====================================================
SPOTLIGHT 2025,2025-12-20,2.0,ERONE,CIMA,b,1回戦,SPOTLIGHT
SPOTLIGHT 2025,2025-12-20,2.0,NERVE,レイジ,b,1回戦,SPOTLIGHT
SPOTLIGHT 2025,2025-12-20,2.0,HIDADDY,MOL53,a,1回戦,SPOTLIGHT
SPOTLIGHT 2025,2025-12-20,2.0,公家バイブス,KAKKY,a,1回戦,SPOTLIGHT
SPOTLIGHT 2025,2025-12-20,2.0,Sitissy luvit,HARDY,a,1回戦,SPOTLIGHT
SPOTLIGHT 2025,2025-12-20,2.0,GIL,輪入道,b,1回戦,SPOTLIGHT
SPOTLIGHT 2025,2025-12-20,2.0,Bendy,Zeal,b,1回戦,SPOTLIGHT
SPOTLIGHT 2025,2025-12-20,2.0,ふぁんく,サッチャー,a,1回戦,SPOTLIGHT
SPOTLIGHT 2025,2025-12-20,2.0,Sto$,CIMA,b,2回戦,SPOTLIGHT
SPOTLIGHT 2025,2025-12-20,2.0,歩歩,レイジ,b,2回戦,SPOTLIGHT
SPOTLIGHT 2025,2025-12-20,2.0,ミステリオ,HIDADDY,b,2回戦,SPOTLIGHT
SPOTLIGHT 2025,2025-12-20,2.0,五月雨,公家バイブス,b,2回戦,SPOTLIGHT
SPOTLIGHT 2025,2025-12-20,2.0,REDWING,Sitissy luvit,b,2回戦,SPOTLIGHT
SPOTLIGHT 2025,2025-12-20,2.0,KATY,輪入道,b,2回戦,SPOTLIGHT
SPOTLIGHT 2025,2025-12-20,2.0,STEEL,Zeal,b,2回戦,SPOTLIGHT
SPOTLIGHT 2025,2025-12-20,2.0,K-razy,ふぁんく,a,2回戦,SPOTLIGHT
SPOTLIGHT 2025,2025-12-20,2.0,CIMA,レイジ,b,準々決勝,SPOTLIGHT
SPOTLIGHT 2025,2025-12-20,2.0,HIDADDY,公家バイブス,b,準々決勝,SPOTLIGHT
SPOTLIGHT 2025,2025-12-20,2.0,Sitissy luvit,輪入道,b,準々決勝,SPOTLIGHT
SPOTLIGHT 2025,2025-12-20,2.0,Zeal,K-razy,b,準々決勝,SPOTLIGHT
SPOTLIGHT 2025,2025-12-20,2.0,レイジ,公家バイブス,a,準決勝,SPOTLIGHT
SPOTLIGHT 2025,2025-12-20,2.0,輪入道,K-razy,a,準決勝,SPOTLIGHT
SPOTLIGHT 2025,2025-12-20,2.0,レイジ,輪入道,a,決勝,SPOTLIGHT
